id,name,state,lat,lon,elev_ft,type
TEWR,Newark,NJ,40.593056,-74.27,135,TDWR
TFLL,Ft Lauderdale,FL,26.143056,-80.343889,121,TDWR
THOU,Houston Hobby,TX,29.516111,-95.241944,118,TDWR
TIAD,Washington Dulles,VA,39.083889,-77.528889,472,TDWR
TIAH,Houston International,TX,30.065,-95.566944,253,TDWR
TICH,Wichita,KS,37.506944,-97.436944,1352,TDWR
TIDS,Indianapolis,IN,39.636944,-86.436111,846,TDWR
TJBQ,Rafael Hernandez Airport,PR,18.485,-67.143,280,TDWR
TJFK,New York City Jfk,NY,40.588889,-73.881111,112,TDWR
TJRV,Jose Aponte De La Torre Airpor,PR,18.256,-65.637,50,TDWR
TJUA,San Juan,PR,18.115667,-66.078167,2958,NEXRAD
TLAS,Las Vegas,NV,36.143889,-115.00694,2057,TDWR
TLVE,Cleveland,OH,41.29,-82.008056,932,TDWR
TMCI,Kansas City,MO,39.498056,-94.741944,1089,TDWR
TMCO,Orlando International,FL,28.343889,-81.326111,171,TDWR
TMDW,Chicago Midway,IL,41.651111,-87.73,764,TDWR
TMEM,Memphis,MS,34.896111,-89.993056,482,TDWR
TMIA,Miami,FL,25.758056,-80.491111,125,TDWR
TMKE,Milwaukee,WI,42.818889,-88.046111,932,TDWR
TMSP,Minneapolis,MN,44.871111,-92.933056,1122,TDWR
TMSY,New Orleans,LA,30.021944,-90.403056,98,TDWR
TOKC,Norman Wfo,OK,35.276111,-97.51,1309,TDWR
TORD,Chicago Ohare,IL,41.796944,-87.858056,745,TDWR
TPBI,West Palm Beach,FL,26.688056,-80.273056,135,TDWR
TPHL,Philadelphia,NJ,39.948889,-75.068889,154,TDWR
TPHX,Phoenix,AZ,33.421111,-112.16305,1089,TDWR
TPIT,Pittsburgh,PA,40.501111,-80.486111,1385,TDWR
TRDU,Raleigh,NC,36.001944,-78.696944,515,TDWR
TSDF,Louisville,KY,38.046111,-85.61,732,TDWR
TSJU,San Juan,PR,18.473889,-66.178889,157,TDWR
TSLC,Salt Lake City,UT,40.966944,-111.93,4295,TDWR
TSTL,St Louis,MO,38.805,-90.488889,646,TDWR
TTPA,Tampa,FL,27.86,-82.518056,92,TDWR
TTUL,Tulsa,OK,36.071111,-95.826944,823,TDWR
